圣保罗队教练地址：BE98H

00   足球在四处飞翔
3F   岬太郎（日本）
40   片桐
41   南葛队教练
42   日本队教练
43   无人
44   石崎（日本）坏笑
45   神秘的库因布拉
46   南葛队教练的黑皮版
47   大空翼（日本）
48   卡洛斯（巴西）惊异
49   日向，严肃（东邦）
4A   格鲁迪斯黑影从左进入
4B   大空翼（日本）严肃
4C   卡洛斯（巴西）惊异
4D   罗伯特面向右
4E   大空翼（圣保罗）自然向右
4F   南葛队那个女的由伤心到自然
50   黑白的罗伯特
51   黑白的大空翼
52   大空翼（日本）严肃
53   大空翼（日本）高举双手，手持奖杯
54   大空翼（日本）两次转身，由背影到正面
55   大空翼（日本）的背影
56   使用南葛队时的那个女的惊讶
57   大空翼（日本）严肃
58   大空翼（圣保罗）严肃
59   罗伯特从右进入（好慢得嘞）
5A   卡洛斯（巴西）严肃
5B   若林迅速向左，惊讶
5C   皮埃尔严肃，面向左
5D   皮埃尔惊讶，面向右
5E   黑白的神秘库因布拉
5F   库因布拉严肃，面向右
60   神秘的库因布拉
61   卡洛斯（弗拉门戈）严肃，面向左
62   戴墨镜的罗伯特，向右
63   卡洛斯（弗拉门戈），微笑，向左
64   卡洛斯（弗拉门戈），诧异
65   大空翼（日本），背影
66   大空翼（日本）自然，向右
67   大空翼（日本）自然，向右
68   石崎（日本）坏笑
69   大空翼（日本）转身背对
6A   大空翼（日本）严肃，向右
6B   石崎（日本）被扇
6C   这个......两个白色的东西？
6D   黑白大空翼带球
6E   大空翼（日本）带球前行
6F   皮埃尔带球前行
70   大空翼（圣保罗）从上至下，射门准备动作
71   射门时的风
72   应该是某个守门员吧......
73   无人
74   脚踢球的瞬间
75   无人
76   无人
77   无人
78   BUG，无人且隐藏游标
79   施奈德的头像，游标变绿
7A   bug,皮埃尔头像，游标变绿
7B   拿破仑头像，游标变绿
7C   游标改变
7D   若林单手接球
7E   格鲁迪斯单手接球
7F   曼昂尼单手接球
80   森崎扑球动作，游标改变
81   广播喇叭向左移
82   日向虎铲，游标变化
83   皮埃尔&拿破仑双人射门
84   大空翼&岬太郎双人射门
85   球入网，左
86   球破网，左
87   球向上旋转
88   无人
89   球向下旋转
8A   某人手拿信封
8B   BUG,裁判只剩头和手臂，吓~~~~~~~~
8C   曼昂尼小人，游标改变
8D   开始画面的小兔子
8E   BUG,meeting上有一橙色小圆
8F   貌似排行时的剧情，最显著的是一个小红圆
90   一个白色矩形，把meeting的ing给挡住了
91   无人，游标变成一个小红点
92   无人
93   射门时的风，抖动
94   球向左急速飞过，游标变化
95   阿根廷国旗
96   法国国旗
97   德国国旗
98   巴西国旗，左
99   巴西国旗，从上至下
9A   一足球落下
9B   小型球网和两个小人
9C   两个人影飘过，估计有一个是大空翼
9D   石崎和XX偷看中
9E   施奈德射门准备动作
9F   射门时的风，抖动
A0   球从右进入，静止于中间
A1   穿巴西队服的大空翼黑影带球持续奔跑
A2   球从右进入，消失于中间
A3   握手
A4   大空翼（日本）的头像
A5   足球从上坠下
A6   足球从右飞向左边，三次
A7   一个较大的足球，先静止后落下，最后滚向左边而停住
A8   远观大空翼的身影
A9   飞机从右边飞向左边，出屏
AA   踢球时的风，抖动（时间很长，要耐心等）
AB   远观大空翼（日本）的背影
AC   远观大空翼（日本）的背影，从右进入（等）
AD   大空翼的大眼睛，紧张
AE   大空翼的大眼睛，彻悟
AF   无人
B0   无人
B1   对巴西临开场的计时器
B2   对巴西临开场的计时器，跟上一个差不多
B3   计时器时间到了
B4   飞机从上坠下
B5   远观大空翼（日本）的背影，从右进入（等）
B6   一个黑色长方形长条，竖置
B7   早苗伤心的大眼睛
B8   早苗伤心的大眼睛，嘴巴张开了
B9   大空翼的大眼睛，紧张
BA   比赛输了的时候，Q版石崎打镲
BB   “队长 翼”日文字样，从右进入
BC   tecmo的小兔子，位于选项框里，游标隐形
BD   无人，游标变成了小红点
BE   足球由近到远
BF   巴西大空翼黑影，射门准备（还要等）
C0   无人
C1   无人
C2   这个......还是自己试试吧，实在无法描述
C3   还是上面那个小家伙，从左边退出
C4   还是上面那个小家伙，乱飞
C5   无人
C6   一道光线，从左往右射去
C7   仔细看，有一处闪光
C8   无人，但游标有变化
C9   同上
CA   “vol.Ⅱ”字样从右进入
CB   同上
CC   无人
CD   无人
CE   bug,无法操作
CF   整个屏幕好像蒙上了一层纱，显得模糊
D0   球的黑影快速远去，游标隐身
D1   无人，游标变深褐色
D2   bug，无人，会死机
D3   无人
D4   会议黑屏，无法操作
D5   整个屏幕好像蒙上了一层纱，显得模糊
D6   整个屏幕好像蒙上了一层蓝纱
D7   无人
D8   会议屏幕颜色变化，游标颜色变化，有一bug人物带球
D9   无人，游标变化
DA   无人
DB   无人
DC   整个屏幕好像蒙上了一层纱，显得模糊
DD   无人
DE   会议黑屏，无法操作
DF   无人
E0   无人
E1   会议屏幕颜色变化，游标颜色变化，有一bug人物带球
E2   整个屏幕好像蒙上了一层纱，显得模糊
E3   无人
E4   会议屏幕颜色变化，游标颜色变化
E5   这个，属于bug吧，自己试试
E6   无人
E7   无人
E8   无人
E9   会议黑屏，无法操作
EA   会议屏幕变红，游标变绿
EB   会议屏幕变蓝，无法操作
EC   无人
ED   会议屏幕变白
EE   无人
EF   无人
F0   无人
F1   会议屏幕变红，游标变绿
F2   无人
F3   会议黑屏，无法操作
F4   无人
F5   无人
F6   会议屏幕变白
F7   整个屏幕好像蒙上了一层纱，显得模糊
F8   无人，bug图像
F9   这个很有趣，游标晃动，但有bug，易黑屏
FA   无人
FB   会议屏幕变黑
FC   会议屏幕变灰，游标隐形
FD   会议屏幕变绿，有bug图形
FE   无人
FF   会议屏幕变灰，游标变黑
