00038e2dh: 			三杉淳★枫制作
0B 92 	路易斯·拿破仑(法国)（ナポレオン）
19 92 	埃尔·西多·皮埃尔(法国)（ビエ－ル）
07 8F 	埃斯帕尼亚(墨西哥)（エスベ－ニャ）
27 92 	郎比昂(意大利)（ランピオン）
07 8F 	吉诺·希林迪斯(意大利)（ヘルナンデス）
35 92 	依斯拉斯（イスラス）(荷兰)
43 92 	利布塔（リブタ）(荷兰)
51 92 	阿兰·帕斯卡尔(阿根廷)（パスカル）
5F 92 	萨托尔斯(阿根廷)（サトルステギ）
6D 92 	胡安·迪亚斯(阿根廷)（ディヌス）
07 8F 	巴宾通(阿根廷)（バビントン）
7B 92 	格尔班(阿根廷)（ガルバン）
89 92 	卡尔·海因斯·施奈德(德国)（シェナイダ－）
07 8F 	玛加斯(德国)（マ－ガス）
97 92 	卡鲁茨(德国)（カルツ）
A5 92 	曼图(德国)（メッツヌ）
07 8F 	谢斯塔(德国)（シェスタ－）
B3 92 	卡贝罗(德国)（カベロマン）
07 8F 	丢德·缪勒(德国)（ミコ－ラ－）
C1 92 	卡洛斯·桑塔纳(巴西)（カルロス）
CF 92 	扎加罗(巴西)（ザガロ）
DD 92 	利贝里奥(巴西)（リベリオ）
EB 92 	奈依(巴西)（ネイ）
F9 92 	桑塔马利诺(巴西)（サンタマリヌ）
07 93 	托尼尼奥(巴西)（トニ－ニョ）
07 8F 	多托尔（ドト－ル）(巴西)
07 8F 	奴马（ヌマラゥ）(巴西)
15 93 	迪胡塞乌(巴西)（ディウセウ）
23 93 	朱托·里奥(巴西)（ジエト－リオ）
31 93 	库因布拉(巴西)（コインブラ）
3F 93         	沙里拿斯(巴西)（ゲルティス）
