OO	无
BA	谢斯塔头像
BB	巴西山达拿头像
BC	库因布拉头像
BD	石崎脸部击球后特写
BE	迪亚斯二过一中
BF	我方控制球员倒挂金钩
C0	立花兄弟高空飓风准备中
C1	尖脚前冲
C2	三人杂技准备
C3	立花兄弟联手尖脚前冲
C4	岬跳射前奏
C5	岬跳射后
C6	超旋高空胸部球往上挑
C7	地面判定射门前奏：超旋
C8	窝利射门准备
C9	李氏兄弟叠罗汉跳起
CA	火箭头球
CB	李氏兄弟叠罗汉
CC	前转射门尖脚前冲
CD	前转射门完成
CE	早田剃刀下坠
CF	脸部挡球尖脚前冲
D0	我方持球队员强行过人带球
D1	我方持球队员强行过人带球
D2	我方持球队员反向强行过人带球
D3	门将击球-未碰到球
D4	皮埃尔头像切入
D5	拿破仑头像切入
D6	翼岬双人射门
D7	翼日向双人射门
D8	立花兄弟双人射门
D9	韩国棒子双人射门
DA	遇敌门将、不出击
DB	法国双子星曲尺加农炮准备前奏
DC	曲尺加农炮踢出
DD	分身过人
DE	无し
DF	帕斯卡尔二过一中
E0	大空翼剧情背影
E1	秋田商校立花兄弟高空飓风准备中
E2	挑球过人
E3	球员快速跑动
E4	挑球过人接回球
E5	超旋球在高空、翼很渺小
E6	地面接传球
E7	日向跑动
E8	我方控制球员头球
E9	托尼尼奥窝利射门
EA	次藤大力铲球
EB	皮埃尔起跳画面
EC	拿破仑起跳画面
ED	施耐德起跳画面
EE	皮埃尔二过一中
EF	立花兄弟二过一中	
