00 00   ０
02 93   系
02 94   告
02 95   诉
02 96   解
02 97   句
02 98   约
02 99   精
02 9A   既
02 9B   控
02 9C   制
02 9D   键
02 9E   懂
02 9F   踢
02 A0   幻
02 A1   影
02 A2   容
02 A3   易
02 A4   劲
02 A5   横
02 A6   按
02 A7   威
02 A8   殊
02 A9   秘
02 AA   化
02 AB   造
02 AC   服
02 AD   障
02 AE   碍
02 AF   诀
02 B0   仅
02 B1   禁
02 B2   区
02 B3   缺
02 B4   陷
02 B5   度
02 B6   完
02 B7   背
02 B8   降
02 B9   凌
02 BA   速
02 BB   四
02 BC   形
02 BD   晚
02 BE   浪
02 BF   另
02 C0   聚
02 C1   剩
02 C2   屈
02 C3   指
02 C4   潜
02 C5   苦
02 C6   边
02 C7   倒
02 C8   辱
02 C9   吃
02 CA   衔
02 CB   风
02 CC   刻
02 CD   ：
02 CE   烈
02 CF   脱
02 D0   颖
02 D1   归
02 D2   哪
02 D3   笑
02 D4   运
02 D5   随
02 D6   观
02 D7   众
02 D8   欢
02 D9   呼
02 DA   她
02 DB   捧
02 DC   离
02 DD   越
02 DE   步
02 DF   码
02 E0   旦
02 E1   否
02 E2   光
02 E3   亏
02 E4   拼
02 E5   搏
02 E6   整
02 E7   祝
02 E8   贺
02 E9   惜
02 EA   嘿
02 EB   提
02 EC   醒
02 ED   缘
02 EE   故
02 EF   涯
02 F0   模
02 F1   仿
02 F2   握
02 F3   蒲
02 F4   座
02 F5   辛
02 F6   酒
02 F7   店
02 F8   庆
02 F9   喂
02 FA   乎
02 FB   硬
02 FC   拽
02 FD   惊
02 FE   估
02 FF   计
03 00   答
03 01   替
03 02   交
03 03   电
03 04   灯
03 05   泡
03 06   流
03 07   早
03 08   云
03 09   彼
03 0A   攻
03 0B   脚
03 0C   萨
03 0D   托
03 0E   核
03 0F   卢
03 10   具
03 11   尼
03 12   ”
03 13   捏
03 14   咋
03 15   别
03 16   鳗
03 17   鱼
03 18   烤
03 19   香
03 1A   蕉
03 1B   严
03 1C   杰
03 1D   插
03 1E   佐
03 1F   野
03 20   叶
03 21   兄
03 22   弟
03 23   注
03 24   固
03 25   阵
03 26   耶
03 27   田
03 28   务
03 29   概
03 2A   乱
03 2B   逼
03 2C   赤
03 2D   浦
03 2E   梅
03 2F   曼
03 30   允
03 31   许
03 32   费
03 33   均
03 34   衡
03 35   司
03 36   历
03 37   史
03 38   却
03 39   伊
03 3A   朗
03 3B   型
03 3C   犯
03 3D   规
03 3E   阻
03 3F   止
03 40   备
03 41   讲
03 42   围
03 43   浓
03 44   忽
03 45   据
03 46   侠
03 47   姆
03 48   贵
03 49   信
03 4A   拜
03 4B   休
03 4C   情
03 4D   英
03 4E   论
03 4F   逊
03 50   抵
03 51   挡
03 52   必
03 53   混
03 54   压
03 55   群
03 56   缜
03 57   划
03 58   粘
03 59   性
03 5A   慎
03 5B   盯
03 5C   仙
03 5D   狂
03 5E   轰
03 5F   炸
03 60   黑
03 61   季
03 62   秀
03 63   贾
03 64   邦
03 65   由
03 66   捣
03 67   动
03 68   节
03 69   奏
03 6A   冻
03 6B   锁
03 6C   条
03 6D   赴
03 6E   [
03 6F   写
03 70   母
03 71   存
03 72   储
03 73   　
03 74   李
03 75   木
03 76   北
03 77   森
03 78   井
03 79   夫
03 7A   町
03 7B   欣
03 7C   安
03 7D   弗
03 7E   林
03 7F   秋
03 80   叙
03 81   沙
03 82   墨
03 83   荷
03 84   抽
03 85   挂
03 86   猛
03 87   调
03 88   钩
03 89   弧
03 8A   炮
03 8B   爆
03 8C   箭
03 8D   坦
03 8E   跟
03 8F   撞
03 90   失
03 91   斜
03 92   帆
03 93   避
03 94   菲
03 95   恶
03 96   拦
03 97   截
03 98   漏
03 99   顶
03 9A   移
03 9B   敏
03 9C   锐
03 9D   捷
03 9E   咳
03 9F   错
03 A0   误
03 A1   院
03 A2   校
03 A3   医
03 A4   俄
03 A5   惨
03 A6   减
03 A7   柱
03 A8   弹
03 A9   推
03 AA   衰
03 AB   哔
03 AC   墙
03 AD   图
03 AE   千
03 AF   钧
03 B0   呜
03 B1   洞
03 B2   穿
03 B3   唔
03 B4   内
03 B5   深
03 B6   处
03 B7   掷
03 B8   罚
03 B9   冲
03 BA   哨
03 BB   响
03 BC   伙
03 BD   伴
03 BE   晓
03 BF   晃
03 C0   彩
03 C1   睡
03 C2   困
03 C3   顽
03 C4   暗
03 C5   恋
03 C6   迎
03 C7   男
03 C8   孩
03 C9   呛
03 CA   辣
03 CB   餐
03 CC   厅
03 CD   查
03 CE   饺
03 CF   炒
03 D0   饭
03 D1   汤
03 D2   礼
03 D3   貌
03 D4   线
03 D5   赖
03 D6   音
03 D7   励
03 D8   奖
03 D9   播
03 DA   词
03 DB   献
03 DC   ·
03 DD   ·
03 DE   ·
03 DF   ·
03 E0   ·
03 E1   ·
03 E2   ·
03 E3   ·
03 E4   咿
03 E5   呀
03 E6   送
03 E7   疯
03 E8   找
03 E9   站
03 EA   蛋
03 EB   牙
03 EC   糟
03 ED   糕
03 EE   赢
03 EF   犹
03 F0   股
03 F1   龙
03 F2   卷
03 F3   奔
03 F4   竹
03 F5   势
03 F6   虹
03 F7   雕
03 F8   虫
03 F9   通
03 FA   尝
03 FB   腿
03 FC   +
03 FD   扑
03 FE   往
03 FF   普
04 00   铁
04 01   桶
04 02   Ｇ
04 03   Ｋ
04 04   板
04 05   凳
04 06   择
04 07   报
04 08   盘
04 09   _
04 0A   停
04 0B   摔
04 0C   哎
04 0D   网
04 0E   乡
04 0F   鸡
04 10   叔
04 11   撕
04 12   鬼
04 13   冰
04 14   佬
04 15   乞
04 16   粉
04 17   味
04 18   乐
04 19   芝
04 1A   士
04 1B   焗
04 1C   虾
04 1D   红
04 1E   述
04 1F   较
04 20   剑
04 21   岬
04 22   仑
04 23   帕
04 24   艾
04 25   花
04 26   拍
04 27   女
04 28   葛
04 29   源
04 2A   戈
04 2B   研
04 2C   洛
04 2D   翌
04 2E   昂
04 2F   像
04 30   届
04 31   淳
04 32   依
04 33   邀
04 34   奴
04 35   苗
04 36   施
04 37   奈
04 38   感
04 39   哇
04 3A   鲁
04 3B   库
04 3C   率
04 3D   席
04 3E   ]
04 3F   档
04 40   扎
04 41   狮
04 42   胡
04 43   塞
04 44   鹫
04 45   诺
04 46   朱
04 47   付
04 48   剃
04 49   刀
04 4A   岛
04 4B   津
04 4C   健
04 4D   维
04 4E   茨
04 4F   氏
04 50   车
04 51   仁
04 52   承
04 53   脉
04 54   鲜
04 55   吉
04 56   海
04 57   沥
04 58   班
04 59   升
04 5A   岸
04 5B   泷
04 5C   正
04 5D   阪
04 5E   仔
04 5F   舒
04 60   文
04 61   嘉
04 62   坤
04 63   狄
04 64   典
04 65   嫩
04 66   富
04 67   良
04 68   槌
04 69   隼
04 6A   鹰
04 6B   焰
04 6C   幔
04 6D   帐
04 6E   刺
04 6F   猬
04 70   魔
04 71   麒
04 72   麟
04 73   救
04 74   飓
04 75   蛇
04 82   板
